policy,policy_type,lambda,mean_reward,mean_cost,cost_frac_of_expensive,oracle_match_rate,direct_random_reward_at_same_cost,gain_vs_direct_random_same_cost,direct_random_mix,choice_counts_by_route
state_policy::flexible_bare_max1,flexible_bare_chain,10.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,10.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,12.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,12.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,12.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,15.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,15.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,15.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,18.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,18.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,18.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,20.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,20.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,20.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,25.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,25.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,25.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,30.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,30.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,30.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,35.0,0.38461538461538464,0.002994658164335666,0.6917916258659269,0.15734265734265734,0.38754198184921496,-0.0029265972338303192,0.0058*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9942*solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 3, 'solver:openai/gpt-oss-20b': 283, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,35.0,0.38461538461538464,0.002994658164335666,0.6917916258659269,0.15734265734265734,0.38754198184921496,-0.0029265972338303192,0.0058*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9942*solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 3, 'solver:openai/gpt-oss-20b': 283, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,35.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,40.0,0.36363636363636365,0.002495580146853147,0.5765003391140825,0.2867132867132867,0.3697668439814161,-0.00613048034505248,0.1874*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8126*solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 58, 'solver:openai/gpt-oss-20b': 228, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,40.0,0.36363636363636365,0.002495580146853147,0.5765003391140825,0.2867132867132867,0.3697668439814161,-0.00613048034505248,0.1874*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8126*solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 58, 'solver:openai/gpt-oss-20b': 228, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,40.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,45.0,0.3111888111888112,0.0010657688111888111,0.2462017025749795,0.5664335664335665,0.31884275450824007,-0.007653943319428869,0.7075*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2925*solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 196, 'solver:openai/gpt-oss-20b': 90, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,45.0,0.3111888111888112,0.0010657688111888111,0.2462017025749795,0.5664335664335665,0.31884275450824007,-0.007653943319428869,0.7075*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2925*solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 196, 'solver:openai/gpt-oss-20b': 90, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,45.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,50.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,50.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,50.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,60.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,60.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,60.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,75.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,75.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,75.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,100.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,100.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,100.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,150.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,150.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,150.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,200.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,200.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,200.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
